version,numOfFeatures,addedFeatures,removedFeatures
chrome-64.json, 7494, 0, 0
chrome-65.json, 7523, 33, 4
chrome-66.json, 7788, 596, 331
chrome-67.json, 7944, 156, 0
chrome-68.json, 8002, 162, 104
chrome-69.json, 8716, 767, 53
chrome-70.json, 8424, 189, 481
chrome-71.json, 8479, 74, 19
chrome-72.json, 8511, 61, 29
chrome-73.json, 8551, 54, 14
chrome-74.json, 8669, 126, 8
chrome-75.json, 8745, 76, 0
chrome-76.json, 8804, 107, 48
chrome-77.json, 8905, 108, 7
chrome-78.json, 11678, 2778, 5
chrome-79.json, 11908, 238, 8
chrome-80.json, 11946, 52, 14
chrome-81.json, 12170, 236, 12
